,animal_id,intake_datetime,found_address,found_city,found_state,intake_type,intake_condition,sex,birthday,age_years,age_months,age_days,mixed_breed,primary_breed,secondary_breed,primary_color,secondary_color,name
28,A826784,2020-12-06 11:27:00,816 Gunter Street,Austin,TX,Stray,Normal,Female,2019-12-06 11:27:00,1,0,5,True,Labrador Retriever,Mix,Chocolate,White,Moonshine
29,A826980,2020-12-10 11:49:00,Cypress Bend,Austin,TX,Stray,Normal,Male,2019-12-10 11:49:00,1,0,1,False,Pit Bull,None,White,Blue,Blue
30,A826935,2020-12-09 15:55:00,11118 Dessau Road,Austin,TX,Stray,Normal,Male,2018-12-09 15:55:00,2,0,2,False,German Shepherd,None,Black,None,Cash
31,A826981,2020-12-10 11:39:00,None,Austin,TX,Owner Surrender,Normal,Female,2012-12-10 11:39:00,8,0,1,False,Labrador Retriever,None,Black,None,Baby Girl
32,A826869,2020-12-09 14:06:00,11708 Tallow Field Way,Austin,TX,Stray,Normal,Male,2018-12-09 14:06:00,2,0,2,False,Chow Chow,None,Brown,None,None
33,A826905,2020-12-08 15:24:00,1541 West Cesar Chavez,Austin,TX,Stray,Normal,Female,2018-12-08 15:24:00,2,0,3,True,Catahoula,Pit Bull,Blue Merle,White,None
34,A826979,2020-12-10 11:09:00,None,Austin,TX,Owner Surrender,Normal,Female,2020-01-10 11:09:00,0,11,1,True,Jack Russell Terrier,Mix,Brown,White,Tiny
35,A826944,2020-12-09 13:11:00,1900 Barge Street,Austin,TX,Stray,Normal,Male,2019-12-09 13:11:00,1,0,2,True,Anatol Shepherd,Mix,Brown,Black,None
36,A826964,2020-12-09 18:39:00,400 Grove Blvd,Austin,TX,Stray,Normal,Male,2017-12-09 18:39:00,3,0,1,True,German Shepherd,Mix,Black,None,Frank
37,A817061,2020-05-07 08:21:00,11204 Moore,Travis,TX,Stray,Injured,Female,2019-08-07 08:21:00,1,4,4,True,German Shepherd,Mix,Black,Brown,Envy
38,A826679,2020-12-03 12:21:00,East Riverside And Wickersham Lane,Austin,TX,Stray,Injured,Female,2020-10-03 12:21:00,0,2,8,True,Miniature Schnauzer,Mix,Black,Brown,Deedee
39,A826962,2020-12-09 16:47:00,None,Leander,TX,Owner Surrender,Normal,Male,2018-12-09 16:47:00,2,0,2,True,Australian Shepherd,Border Collie,Chocolate,White,Choco
40,A826975,2020-12-10 09:48:00,1504 Citation Circle,Travis,TX,Stray,Normal,Male,2020-08-10 09:48:00,0,4,1,True,Labrador Retriever,Mix,Brown,Black,None
41,A826899,2020-12-08 13:14:00,1006 Silbury Drive,Austin,TX,Stray,Injured,Male,2006-12-08 13:14:00,14,0,3,False,Pit Bull,None,Blue,White,Polo
42,A826947,2020-12-09 14:11:00,18133 Ryegate Drive,Travis,TX,Stray,Normal,Female,2006-12-09 14:11:00,14,0,2,False,Toy Poodle,None,White,None,Nina
43,A826888,2020-12-08 13:14:00,7111 East 290 Highway Service Road,Austin,TX,Stray,Medical,Female,2020-07-08 13:14:00,0,5,3,True,German Shepherd,Mix,Brown,Black,None
44,A826965,2020-12-09 23:24:00,111 East Cesar Chavez,Austin,TX,Public Assist,Normal,Male,2017-12-09 23:24:00,3,0,1,False,Great Dane,None,Fawn,White,Diesel
45,A826949,2020-12-09 14:11:00,1013 Bird Creek Drive,Austin,TX,Stray,Normal,Male,2019-12-09 14:11:00,1,0,2,True,Miniature Poodle,Mix,White,None,None
46,A826907,2020-12-08 17:01:00,9112 Evelyn Road,Travis,TX,Stray,Normal,Female,2019-12-08 17:01:00,1,0,3,True,Plott Hound,Catahoula,Brown Brindle,None,Cleo
47,A826945,2020-12-09 13:34:00,1255 South Dunlap Road,Travis,TX,Stray,Normal,Male,2018-12-09 13:34:00,2,0,2,False,American Pit Bull Terrier,None,Black,White,None
48,A826922,2020-12-09 08:38:00,12105 Old Stage Trail,Austin,TX,Stray,Normal,Female,2018-12-09 08:38:00,2,0,2,False,Pit Bull,None,Brown,None,None
49,A826923,2020-12-09 09:45:00,15109 Bullace Street,Travis,TX,Stray,Injured,Male,2017-12-09 09:45:00,3,0,2,True,German Shepherd,Mix,Tan,None,None
50,A826973,2020-12-10 09:48:00,1504 Citation Circle,Travis,TX,Stray,Normal,Male,2020-08-10 09:48:00,0,4,1,True,Labrador Retriever,Mix,Black,White,None
51,A826966,2020-12-10 06:41:00,10800 Lakeline Boulevard,Austin,TX,Public Assist,Normal,Male,2019-12-10 06:41:00,1,0,1,False,French Bulldog,None,Tan,Black,None
52,A826974,2020-12-10 09:48:00,1504 Citation Circle,Travis,TX,Stray,Normal,Male,2020-08-10 09:48:00,0,4,1,True,Labrador Retriever,Mix,Black,White,None
53,A826794,2020-12-06 14:36:00,306 West Rundberg,Austin,TX,Stray,Normal,Female,2020-10-06 14:36:00,0,2,5,False,Jack Russell Terrier,None,White,None,None
54,A826542,2020-12-04 19:15:00,2305 Rachael Court,Austin,TX,Stray,Normal,Female,2018-12-04 19:15:00,2,0,6,False,American Staffordshire Terrier,None,Gray,White,Mia
55,A813325,2020-12-06 22:00:00,1301 West Oltorf,Austin,TX,Stray,Normal,Male,2019-12-06 22:00:00,1,0,4,True,Border Collie,Labrador Retriever,Black,None,Jay
56,A826777,2020-12-05 17:38:00,6405 Circle S Road,Austin,TX,Stray,Normal,Female,2020-08-05 17:38:00,0,4,5,True,Pit Bull,Mix,Black,White,None
57,A825700,2020-12-04 12:52:00,9500 Dessau Road,Austin,TX,Owner Surrender,Normal,Male,2020-09-04 12:52:00,0,3,7,True,Plott Hound,Mix,Brown Brindle,White,None
58,A826796,2020-12-06 16:33:00,Manor Road And Airport Boulevard,Austin,TX,Stray,Normal,Male,2020-01-06 16:33:00,0,11,5,False,Pit Bull,None,White,Tan,Derby
59,A826828,2020-12-07 14:01:00,East 12Th Street,Austin,TX,Stray,Sick,Male,2020-11-09 14:01:00,0,1,2,True,Chihuahua Shorthair,Mix,Black,Tan,None
60,A826724,2020-12-04 13:16:00,1305 Dobie Drive,Austin,TX,Stray,Normal,Female,2019-12-04 13:16:00,1,0,7,True,Labrador Retriever,Mix,White,None,Celeste
61,A826878,2020-12-08 09:46:00,8140 North Lamar Boulevard,Austin,TX,Stray,Normal,Male,2017-12-08 09:46:00,3,0,3,False,Pit Bull,None,Blue,White,None
62,A826861,2020-12-07 18:42:00,2400 East Cesar Chavez,Austin,TX,Stray,Normal,Male,2018-12-07 18:42:00,2,0,3,False,Chihuahua Shorthair,None,White,Tan,None
63,A826813,2020-12-07 12:02:00,124 West Anderson Lane,Austin,TX,Abandoned,Normal,Female,2018-12-07 12:02:00,2,0,4,True,Pit Bull,Mix,Blue,None,None
64,A825253,2020-12-06 13:11:00,5501 South Mopac,Austin,TX,Stray,Normal,Male,2019-12-06 13:11:00,1,0,5,False,Boxer,None,Black,White,Buddy
65,A826703,2020-12-04 09:17:00,Lexington And East Murray,Travis,TX,Stray,Normal,Female,2019-12-04 09:17:00,1,0,7,True,Black Mouth Cur,Mix,Brown,None,Ximena
66,A826789,2020-12-06 13:22:00,East 6Th Street At  Ih 35,Austin,TX,Stray,Injured,Female,2020-03-06 13:22:00,0,9,5,True,Finnish Spitz,Mix,Red,White,None
67,A826843,2020-12-07 16:32:00,2206 Bahama Road,Austin,TX,Stray,Normal,Male,2020-04-07 16:32:00,0,8,4,False,Pit Bull,None,Blue Tiger,None,Moose
68,A813064,2020-12-06 15:24:00,3118  Windsor Road,Austin,TX,Owner Surrender,Normal,Male,2019-12-06 15:24:00,1,0,5,False,Chihuahua Shorthair,None,Black,White,Baby Boy
69,A826765,2020-12-06 11:44:00,1156 West Cesar Chavez,Austin,TX,Public Assist,Normal,Male,2012-12-06 11:44:00,8,0,5,True,Labrador Retriever,Mix,Black,None,Poundcake
70,A826797,2020-12-06 16:38:00,4626 Philco Drive,Austin,TX,Public Assist,Normal,Female,2013-12-06 16:38:00,7,0,5,True,Rottweiler,Beagle,Black,Brown,Riley
71,A826858,2020-12-07 20:56:00,4434 Frontier Trail,Austin,TX,Owner Surrender,Injured,Male,2020-08-07 20:56:00,0,4,3,True,Chihuahua Longhair,Mix,Black,White,Charlee
72,A826519,2020-11-30 14:06:00,9201 Circuit Of The Americas,Travis,TX,Stray,Normal,Female,2019-11-30 14:06:00,1,0,11,False,German Shepherd,None,Brown,Black,Nara
73,A815498,2020-03-17 10:25:00,14735 Bratton Lane,Austin,TX,Abandoned,Normal,Female,2019-03-17 10:25:00,1,8,24,False,Pit Bull,None,Black,White,Luna
74,A815498,2020-12-09 17:08:00,None,Travis,TX,Owner Surrender,Normal,Female,2019-12-09 17:08:00,1,0,1,False,Pit Bull,None,Black,White,Luna
75,A804784,2020-12-09 16:10:00,8800 Research Boulevard,Austin,TX,Stray,Normal,Female,2016-12-09 16:10:00,4,0,2,False,American Pit Bull Terrier,None,White,Black,Diamond
76,A826817,2020-12-07 11:47:00,None,Austin,TX,Owner Surrender,Normal,Female,2020-05-07 11:47:00,0,7,4,False,Labrador Retriever,None,Brown,White,Bonnie
77,A826958,2020-12-09 15:31:00,George Street And Stassney,Austin,TX,Stray,Normal,Female,2018-12-09 15:31:00,2,0,2,False,Chihuahua Longhair,None,Brown,White,None
78,A826818,2020-12-07 11:47:00,None,Austin,TX,Owner Surrender,Normal,Male,2020-05-07 11:47:00,0,7,4,False,Labrador Retriever,None,Brown,White,Clyde
79,A825593,2020-11-06 12:00:00,2006 Blue Meadow,Austin,TX,Abandoned,Normal,Female,2018-11-06 12:00:00,2,1,5,True,Chihuahua Shorthair,Mix,White,Brown,Gale
80,A747214,2017-04-16 15:42:00,Sterlinghill Dr And Carlsharlton Dr,Austin,TX,Stray,Normal,Male,2016-09-16 15:42:00,4,2,25,False,German Shepherd,None,Sable,Tan,Zeus
81,A826795,2020-12-06 14:49:00,8412 Fall Meadow,Austin,TX,Stray,Normal,Female,2020-09-06 14:49:00,0,3,5,False,Rottweiler,None,Black,Brown,None
82,A826788,2020-12-06 12:42:00,1912 East William Cannon Drive,Austin,TX,Stray,Normal,Female,2020-11-06 12:42:00,0,1,5,True,Australian Shepherd,Mix,Brown Merle,White,None
83,A826713,2020-12-04 11:21:00,Tower Road And Samuel Welch Road,Travis,TX,Stray,Normal,Male,2019-12-04 11:21:00,1,0,7,False,Great Pyrenees,None,White,Tan,Lasso
84,A826946,2020-12-09 13:33:00,None,Austin,TX,Owner Surrender,Normal,Male,2019-12-09 13:33:00,1,0,2,True,Dachshund,Mix,Blue,Brown,Lennon
85,A750904,2020-11-06 12:00:00,2006 Blue Meadow,Austin,TX,Abandoned,Normal,Male,2015-11-06 12:00:00,5,1,5,True,Pit Bull,Mix,Brown Brindle,White,Sonic
86,A750904,2017-06-02 09:20:00,7707 Ih 35,Austin,TX,Stray,Normal,Male,2015-06-02 09:20:00,5,6,9,True,Pit Bull,Mix,Brown Brindle,White,Sonic
87,A826941,2020-12-09 12:32:00,7530 Compass,Travis,TX,Stray,Sick,Female,2020-11-09 12:32:00,0,1,2,False,Labrador Retriever,None,Brown Brindle,White,None
88,A826051,2020-11-18 12:25:00,None,Austin,TX,Owner Surrender,Normal,Female,2015-11-18 12:25:00,5,0,23,True,German Shepherd,Mix,Black,None,Suki
89,A826836,2020-12-07 15:25:00,None,Travis,TX,Owner Surrender,Normal,Female,2019-12-07 15:25:00,1,0,4,True,Labrador Retriever,Mix,Black,White,Shira
90,A826920,2020-12-09 07:46:00,4434 Frontier Trail,Austin,TX,Owner Surrender,Injured,Female,2020-09-09 07:46:00,0,3,2,False,German Shepherd,None,Black,Brown,Zel
91,A826259,2020-12-08 17:51:00,Outside Jurisdiction,None,None,Owner Surrender,Normal,Male,2018-12-08 17:51:00,2,0,2,False,German Shepherd,None,Brown,Black,Agent 47
92,A788817,2020-12-07 16:51:00,7101 Sentry Path,Austin,TX,Stray,Normal,Female,2018-12-07 16:51:00,2,0,4,True,Staffordshire,Mix,Fawn,White,Catherine
93,A788817,2020-02-09 16:26:00,None,Austin,TX,Owner Surrender,Sick,Female,2019-02-09 16:26:00,1,10,2,True,Staffordshire,Mix,Fawn,White,Catherine
94,A788817,2019-02-09 14:38:00,2302 East William Cannon,Austin,TX,Stray,Normal,Female,2018-04-09 14:38:00,2,8,2,True,Staffordshire,Mix,Fawn,White,Catherine
95,A826912,2020-12-08 16:55:00,None,Creedmoor,TX,Owner Surrender,Aged,Female,2004-12-08 16:55:00,16,0,3,True,Collie Smooth,Chow Chow,Red,None,None
96,A826894,2020-12-08 12:31:00,None,Austin,TX,Owner Surrender,Normal,Female,2019-12-08 12:31:00,1,0,3,False,Staffordshire,None,Blue,None,Charara
97,A826890,2020-12-08 12:31:00,None,Austin,TX,Owner Surrender,Normal,Female,2018-12-08 12:31:00,2,0,3,False,Staffordshire,None,Tan,White,Canche
98,A826738,2020-12-04 17:40:00,9000 South 183,Austin,TX,Stray,Normal,Male,2019-12-04 17:40:00,1,0,6,True,German Shepherd,Mix,Brown,Black,Sawyer
99,A826892,2020-12-08 12:31:00,None,Austin,TX,Owner Surrender,Normal,Female,2019-12-08 12:31:00,1,0,3,False,Staffordshire,None,Blue,White,Flaka
100,A826782,2020-12-08 11:48:00,6603 Sunstrip,Austin,TX,Public Assist,Normal,Male,2017-12-08 11:48:00,3,0,3,False,Labrador Retriever,None,Brown,None,Wallace
101,A826886,2020-12-08 11:16:00,None,Austin,TX,Owner Surrender,Normal,Male,2013-12-08 11:16:00,7,0,3,True,Dachshund,Chihuahua Shorthair,Red,None,Peanut
102,A826358,2020-11-25 11:18:00,1100 Garland Avenue,Austin,TX,Stray,Normal,Male,2018-11-25 11:18:00,2,0,16,False,Shih Tzu,None,Chocolate,White,Java
103,A826231,2020-11-23 07:37:00,8529 Linden,Travis,TX,Stray,Injured,Female,2019-11-23 07:37:00,1,0,18,False,Whippet,None,Tan,White,Jenny
104,A826860,2020-12-07 18:28:00,1701 Timberwood Dr,Austin,TX,Stray,Normal,Female,2015-12-07 18:28:00,5,0,3,True,German Shepherd,Mix,Tan,White,Chi Chi
105,A826844,2020-12-07 16:10:00,None,Austin,TX,Owner Surrender,Normal,Male,2020-03-07 16:10:00,0,9,4,True,Pharaoh Hound,Mix,Gray,White,Santos
106,A826855,2020-12-07 16:57:00,None,Austin,TX,Owner Surrender,Normal,Female,2020-05-07 16:57:00,0,7,4,True,Pekingese,Mix,Brown,Black,Lucy
107,A817551,2020-11-15 11:54:00,11621 Sun Glide Lane,Travis,TX,Owner Surrender,Behavior,Male,2018-11-15 11:54:00,2,0,26,True,Australian Cattle Dog,St. Bernard Smooth Coat,Brown,White,Bean
108,A826839,2020-12-07 15:25:00,None,Travis,TX,Owner Surrender,Normal,Male,2020-11-16 15:25:00,0,0,25,True,Labrador Retriever,Mix,Black,White,None
109,A817551,2020-07-07 13:04:00,None,Austin,TX,Owner Surrender,Normal,Male,2018-07-07 13:04:00,2,5,4,True,Australian Cattle Dog,St. Bernard Smooth Coat,Brown,White,Bean
110,A817551,2020-05-20 12:02:00,None,Austin,TX,Owner Surrender,Normal,Male,2018-05-20 12:02:00,2,6,21,True,Australian Cattle Dog,St. Bernard Smooth Coat,Brown,White,Bean
111,A826838,2020-12-07 15:25:00,None,Travis,TX,Owner Surrender,Normal,Male,2020-11-16 15:25:00,0,0,25,True,Labrador Retriever,Mix,Black,White,None
112,A826841,2020-12-07 15:25:00,None,Travis,TX,Owner Surrender,Normal,Male,2020-11-16 15:25:00,0,0,25,True,Labrador Retriever,Mix,Black,White,None
113,A826840,2020-12-07 15:25:00,None,Travis,TX,Owner Surrender,Normal,Female,2020-11-16 15:25:00,0,0,25,True,Labrador Retriever,Mix,Black,White,None
114,A825896,2020-11-15 08:38:00,Fort Drum Drive,Austin,TX,Stray,Injured,Male,2004-11-15 08:38:00,16,0,26,False,Boxer,None,Brown Brindle,White,Axel
115,A826842,2020-12-07 15:25:00,None,Travis,TX,Owner Surrender,Normal,Female,2020-11-16 15:25:00,0,0,25,True,Labrador Retriever,Mix,Black,White,None
116,A825027,2020-10-26 15:05:00,6918 Cherrydale Drive,Austin,TX,Stray,Injured,Male,2009-10-26 15:05:00,11,1,15,True,Rottweiler,Labrador Retriever,Black,Brown,Moody
117,A826298,2020-11-23 17:52:00,None,Austin,TX,Owner Surrender,Normal,Female,2017-11-23 17:52:00,3,0,17,True,Labrador Retriever,Mix,Brown,Black,Harley
118,A826609,2020-12-02 11:06:00,6914 Shannon Drive,Austin,TX,Stray,Normal,Male,2019-12-02 11:06:00,1,0,9,False,German Shepherd,None,Black,Brown,Billy
119,A826611,2020-12-02 11:06:00,6914 Shannon Drive,Austin,TX,Stray,Normal,Male,2019-12-02 11:06:00,1,0,9,True,Border Collie,German Shepherd,Black,Brown,Bobby
120,A826814,2020-12-07 11:47:00,None,Austin,TX,Owner Surrender,Normal,Female,2020-10-07 11:47:00,0,2,4,False,Labrador Retriever,None,Brown Brindle,White,None
121,A826819,2020-12-07 11:47:00,None,Austin,TX,Owner Surrender,Normal,Female,2020-05-07 11:47:00,0,7,4,False,Labrador Retriever,None,Brown Brindle,None,None
122,A826640,2020-12-02 18:20:00,11846 Jollyville Road,Austin,TX,Stray,Normal,Female,2018-12-02 18:20:00,2,0,8,True,Pit Bull,Mix,White,Brown,Marki
123,A826815,2020-12-07 11:47:00,None,Austin,TX,Owner Surrender,Normal,Female,2020-10-07 11:47:00,0,2,4,False,Labrador Retriever,None,Brown,White,None
124,A826615,2020-12-02 12:23:00,None,Austin,TX,Owner Surrender,Normal,Female,2019-12-02 12:23:00,1,0,9,True,German Shepherd,Mix,Tan,White,Darlin
125,A826619,2020-12-02 13:13:00,1805 Scofield Drive,Austin,TX,Stray,Normal,Female,2018-12-02 13:13:00,2,0,9,True,Pit Bull,Mix,White,Brown Brindle,Brandy
126,A799813,2019-07-12 11:28:00,5403 Stuart Circle,Austin,TX,Stray,Injured,Female,2018-07-12 11:28:00,2,4,29,False,Chihuahua Shorthair,None,Brown,Black,Brandi
127,A826618,2020-12-02 13:13:00,1805 Scofield Drive,Austin,TX,Stray,Normal,Female,2018-12-02 13:13:00,2,0,9,False,Pit Bull,None,Brown,None,Winnie
128,A826816,2020-12-07 11:47:00,None,Austin,TX,Owner Surrender,Normal,Male,2020-10-07 11:47:00,0,2,4,False,Labrador Retriever,None,Brown,White,None
129,A825792,2020-11-12 15:12:00,None,Austin,TX,Owner Surrender,Nursing,Female,2020-11-06 15:12:00,0,1,5,False,Chihuahua Shorthair,None,Brown,White,Sesame
130,A825789,2020-11-12 15:12:00,None,Austin,TX,Owner Surrender,Nursing,Male,2020-11-06 15:12:00,0,1,5,True,Chihuahua Shorthair,Mix,Brown,White,Randy
131,A825790,2020-11-12 15:12:00,None,Austin,TX,Owner Surrender,Nursing,Female,2020-11-06 15:12:00,0,1,5,True,Chihuahua Shorthair,Mix,Tan,None,Wolfie
132,A826811,2020-12-07 11:35:00,8506 Evelyn Road,Travis,TX,Stray,Normal,Female,2018-12-07 11:35:00,2,0,4,False,Chihuahua Shorthair,None,Black,Tan,None
133,A825791,2020-11-12 15:12:00,None,Austin,TX,Owner Surrender,Nursing,Male,2020-11-06 15:12:00,0,1,5,True,Chihuahua Shorthair,Mix,Brown,White,Soda-Pop
134,A788075,2019-01-25 18:13:00,Mary And 5Th St,Austin,TX,Stray,Normal,Male,2015-01-25 18:13:00,5,10,15,True,Chihuahua Shorthair,Dachshund,Brown,Red,Pickles
135,A826321,2020-11-24 14:40:00,14501 Reynero Lane,Travis,TX,Stray,Normal,Male,2019-11-24 14:40:00,1,0,17,False,German Shepherd,None,Brown,Black,Sammy
136,A826359,2020-11-25 13:25:00,5609 Samuel Huston Avenue,Austin,TX,Abandoned,Normal,Male,2018-11-25 13:25:00,2,0,16,False,Shih Tzu,None,Black,White,Chip
137,A826801,2020-12-07 09:54:00,600 Wood Street,Austin,TX,Public Assist,Normal,Male,2020-11-07 09:54:00,0,1,4,False,German Shorthair Pointer,None,Chocolate,White,None
138,A826800,2020-12-07 08:14:00,4434 Frontier Trail,Austin,TX,Owner Surrender,Sick,Female,2020-10-07 08:14:00,0,2,4,False,Maltese,None,Black,White,Lola
139,A826799,2020-12-07 08:00:00,4434 Frontier Trail,Austin,TX,Owner Surrender,Injured,Male,2009-12-07 08:00:00,11,0,4,False,Pug,None,Black,White,Chanchito
140,A826787,2020-12-06 12:14:00,Anahuac Trail And Brandt Road,Austin,TX,Stray,Injured,Female,2020-07-06 12:14:00,0,5,5,False,Labrador Retriever,None,Black,Black,None
141,A826641,2020-12-02 16:19:00,9704 Carson Creek Boulevard,Austin,TX,Stray,Normal,Male,2019-12-02 16:19:00,1,0,9,True,Labrador Retriever,Border Collie,Black,White,Whirlaway
142,A826786,2020-12-06 12:14:00,Anahuac Trail And Brandt Road,Austin,TX,Stray,Injured,Female,2020-07-06 12:14:00,0,5,5,False,Labrador Retriever,None,Black,Black,None
143,A826608,2020-12-02 11:03:00,10001 Burleson Road,Travis,TX,Stray,Nursing,Female,2018-12-02 11:03:00,2,0,9,False,Pit Bull,None,Tan,None,Dumplin
144,A826536,2020-12-01 09:49:00,Montopolis Drive And Bastrop Highway,Austin,TX,Stray,Normal,Male,2019-12-01 09:49:00,1,0,10,False,German Shepherd,None,Black,Brown,Hayes
145,A826398,2020-11-26 09:37:00,4434 Frontier Trail,Austin,TX,Public Assist,Sick,Male,2020-10-29 09:37:00,0,1,12,True,Jack Russell Terrier,Dachshund,White,Red,Max
146,A826403,2020-11-26 17:13:00,6603 North Ih 35,Austin,TX,Owner Surrender,Normal,Male,2019-11-26 17:13:00,1,0,14,False,Pointer,None,White,Brown,Baby Boots
147,A826770,2020-12-05 16:37:00,8107 Manassas,Austin,TX,Stray,Injured,Female,2010-12-05 16:37:00,10,0,6,False,Lhasa Apso,None,White,White,Lexi
148,A826779,2020-12-06 08:10:00,4434 Frontier Trail,Austin,TX,Stray,Sick,Male,2020-07-06 08:10:00,0,5,5,False,Catahoula,None,Blue Merle,White,None
149,A784710,2020-11-19 15:05:00,None,Austin,TX,Owner Surrender,Normal,Male,2018-11-19 15:05:00,2,0,22,False,Labrador Retriever,None,Black,White,Maximus
150,A784710,2018-11-19 12:20:00,2801 Palomino Trail,Austin,TX,Stray,Normal,Male,2018-10-19 12:20:00,2,1,22,False,Labrador Retriever,None,Black,White,Maximus
151,A822473,2020-12-05 16:04:00,Macmora And Jordan,Austin,TX,Stray,Normal,Male,2015-12-05 16:04:00,5,0,6,False,Pit Bull,None,Blue Cream,White,Blue
