,animal_id,intake_datetime,found_address,found_city,found_state,intake_type,intake_condition,sex,birthday,age_years,age_months,age_days,mixed_breed,primary_breed,secondary_breed,primary_color,secondary_color,name
30,A826546,2020-12-01 11:45:00,1928 Gaston Place,Austin,TX,Stray,Normal,Female,2020-08-01 11:45:00,0,4,0,True,Black,Tan Hound,Black,Tricolor,None
31,A826532,2020-11-30 18:00:00,Shropshire Boulevard And Dessau Road,Austin,TX,Stray,Normal,Male,2019-11-30 18:00:00,1,0,1,False,Pomeranian,None,Buff,None,None
32,A826418,2020-11-27 16:50:00,Magin Meadow Drive,Austin,TX,Stray,Normal,Female,2018-11-27 16:50:00,2,0,4,True,American Bulldog,American Staffordshire Terrier,White,None,Dolly
33,A826536,2020-12-01 09:49:00,Montopolis Drive And Bastrop Highway,Austin,TX,Stray,Normal,Male,2019-12-01 09:49:00,1,0,0,False,German Shepherd,None,Black,Brown,None
34,A812974,2020-12-01 09:32:00,8506 Evelyn Road,Mustang Ridge,TX,Stray,Normal,Female,2018-12-01 09:32:00,2,0,0,True,Labrador Retriever,Basset Hound,Tan,White,Sugar
35,A772728,2020-11-25 15:40:00,None,Austin,TX,Owner Surrender,Normal,Female,2015-11-25 15:40:00,5,0,6,True,Pit Bull,Mix,Blue,White,Luna
36,A822648,2020-09-07 14:45:00,305 E Yager Ln,Austin,TX,Stray,Normal,Male,2018-09-07 14:45:00,2,2,24,False,Labrador Retriever,None,Brown,None,Julius
37,A826311,2020-11-24 10:53:00,None,Austin,TX,Owner Surrender,Normal,Male,2017-11-24 10:53:00,3,0,7,True,Australian Kelpie,Mix,Brown,Black,Charlie
38,A826371,2020-11-25 13:32:00,Palo Blanco,Austin,TX,Stray,Normal,Female,2017-11-25 13:32:00,3,0,6,False,Yorkshire Terrier,None,Tan,Black,None
39,A826349,2020-11-25 10:39:00,2302 East William Cannon Drive,Austin,TX,Stray,Normal,Female,2018-11-25 10:39:00,2,0,6,False,Chihuahua Shorthair,None,Tan,None,None
40,A826356,2020-11-25 11:12:00,5804 South Congress Avenue,Austin,TX,Stray,Nursing,Female,2015-11-25 11:12:00,5,0,6,False,German Shepherd,None,Black,Brown,None
41,A826347,2020-11-25 09:48:00,Lindell Avenue And Barlett Street,Austin,TX,Stray,Normal,Male,2019-11-25 09:48:00,1,0,6,True,Pit Bull,Mix,White,Brown,None
42,A807930,2020-11-25 13:19:00,Ponca And Vargas,Austin,TX,Stray,Normal,Male,2019-11-25 13:19:00,1,0,6,False,Pit Bull,None,Blue,White,Tobby
43,A819304,2020-06-25 14:13:00,6901 Wentworth Dr,Austin,TX,Stray,Sick,Male,2018-06-25 14:13:00,2,5,6,True,Pointer,Mix,Black,White,Oslo
44,A825712,2020-11-10 10:57:00,None,Austin,TX,Owner Surrender,Normal,Male,2018-11-10 10:57:00,2,0,21,True,Treeing Cur,Mix,Brown,White,Blu
45,A826051,2020-11-18 12:25:00,None,Austin,TX,Owner Surrender,Normal,Female,2015-11-18 12:25:00,5,0,13,True,German Shepherd,Mix,Black,None,Suki
46,A825731,2020-11-10 14:14:00,11213 Metric Boulevard,Austin,TX,Owner Surrender,Normal,Male,2020-02-10 14:14:00,0,9,21,True,Rottweiler,Mix,Black,Tan,Higol
47,A826341,2020-11-25 07:16:00,Darrin Lane And Apperson Street,Travis,TX,Stray,Injured,Female,2019-11-25 07:16:00,1,0,6,False,Australian Cattle Dog,None,Red Tick,White,None
48,A819304,2020-11-25 12:03:00,None,Austin,TX,Owner Surrender,Normal,Male,2018-11-25 12:03:00,2,0,6,True,Pointer,Mix,Black,White,Oslo
49,A826351,2020-11-25 10:39:00,2302 East William Cannon Drive,Austin,TX,Stray,Normal,Female,2018-11-25 10:39:00,2,0,6,True,Pit Bull,Mix,Tan,None,None
50,A826320,2020-11-14 14:30:00,Outside Jurisdiction,None,None,Stray,Normal,Male,Unknown,Unknown,Unknown,Unknown,False,Pomeranian,None,Unknown,None,Chester
51,A826350,2020-11-25 10:39:00,2302 East William Cannon Drive,Austin,TX,Stray,Normal,Male,2018-11-25 10:39:00,2,0,6,True,Boxer,Mix,Brown,White,None
52,A826284,2020-11-19 16:30:00,Outside Jurisdiction,None,None,Stray,Normal,Male,Unknown,Unknown,Unknown,Unknown,False,American Pit Bull Terrier,None,Unknown,None,Prince
53,A826346,2020-11-17 09:30:00,Outside Jurisdiction,None,None,Stray,Normal,Male,Unknown,Unknown,Unknown,Unknown,False,Bull Terrier,None,Unknown,None,Golani
54,A826305,2020-11-24 08:02:00,12212 Brigadoon Lane,Austin,TX,Public Assist,Normal,Male,2018-11-24 08:02:00,2,0,7,True,Pit Bull,Mix,White,Black,None
55,A826285,2020-11-23 16:33:00,7300 Daffan Lane,Austin,TX,Stray,Nursing,Male,2020-11-02 16:33:00,0,0,29,False,Labrador Retriever,None,Tricolor,None,None
56,A825297,2020-11-19 13:34:00,Outside Jurisdiction,None,None,Owner Surrender,Normal,Female,2020-09-19 13:34:00,0,2,12,True,Australian Shepherd,Border Collie,White,Black,Taro
57,A826228,2020-11-22 17:51:00,Tx 45 And Fm 1625,Travis,TX,Stray,Normal,Male,2019-11-22 17:51:00,1,0,9,False,Great Pyrenees,None,White,None,Snowball
58,A826229,2020-11-22 17:51:00,Tx 45 And Fm 1625,Travis,TX,Stray,Normal,Male,2017-11-22 17:51:00,3,0,9,True,Landseer,Great Pyrenees,Black,White,None
59,A825694,2020-11-09 16:25:00,5105 Pepper Lane,Austin,TX,Stray,Sick,Male,2020-03-09 16:25:00,0,8,22,True,Australian Cattle Dog,Mix,White,Tan,Willikins
60,A826248,2020-11-23 11:10:00,None,Austin,TX,Owner Surrender,Sick,Male,2020-11-09 11:10:00,0,0,22,True,German Shepherd,Mix,Tricolor,None,None
61,A825925,2020-11-16 08:37:00,13601 Sea Biscuit Drive,Travis,TX,Owner Surrender,Normal,Female,2018-11-16 08:37:00,2,0,15,False,American Staffordshire Terrier,None,Gray,White,Bluebonnet
62,A825744,2020-11-22 14:47:00,None,Pflugerville,TX,Owner Surrender,Normal,Male,2020-08-22 14:47:00,0,3,9,True,Pit Bull,Mix,Brown Brindle,White,Karwan
63,A826244,2020-11-23 10:49:00,None,Travis,TX,Owner Surrender,Normal,Male,2020-01-23 10:49:00,0,10,8,False,Great Pyrenees,None,White,Brown,Ranger
64,A825744,2020-11-10 18:05:00,10501 North Ih 35,Austin,TX,Stray,Normal,Male,2020-08-10 18:05:00,0,3,21,True,Pit Bull,Mix,Brown Brindle,White,Karwan
65,A826205,2020-11-21 17:50:00,None,Austin,TX,Owner Surrender,Aged,Female,2010-11-21 17:50:00,10,0,10,False,Chihuahua Longhair,None,Brown Brindle,None,Cookie
66,A825963,2020-11-16 17:07:00,Warrington Drive And Applegate,Austin,TX,Stray,Normal,Male,2019-11-16 17:07:00,1,0,15,False,Chihuahua Shorthair,None,Tricolor,None,Bashi
67,A826216,2020-11-22 11:47:00,Watson And Morrow Street,Austin,TX,Stray,Normal,Female,2017-11-22 11:47:00,3,0,9,True,Staffordshire,Mix,Black,None,Athena
68,A826230,2020-11-22 20:08:00,5300 Jimmy Clay Dr,Austin,TX,Stray,Normal,Male,2020-09-22 20:08:00,0,2,9,True,English Springer Spaniel,Mix,Tan,None,None
69,A826231,2020-11-23 07:37:00,8529 Linden,Travis,TX,Stray,Injured,Female,2019-11-23 07:37:00,1,0,8,False,Chihuahua Shorthair,None,Tan,White,None
70,A826201,2020-11-21 14:56:00,7605 Crystalbrook Cove,Austin,TX,Stray,Normal,Female,2019-11-21 14:56:00,1,0,10,False,Chihuahua Shorthair,None,Brown,None,Weda
71,A826194,2020-11-21 12:34:00,4507 Felicity Lane,Austin,TX,Stray,Injured,Male,2018-11-21 12:34:00,2,0,10,False,Chihuahua Shorthair,None,Brown,None,None
72,A826141,2020-11-20 08:17:00,Stassney Lane And Palo Blanco,Austin,TX,Stray,Injured,Male,2018-11-20 08:17:00,2,0,11,True,Pit Bull,Mix,Brown,White,None
73,A826163,2020-11-20 13:19:00,9007 Hobby Lane,Jonestown,TX,Owner Surrender,Normal,Male,2014-11-20 13:19:00,6,0,11,True,Catahoula,Mix,Brown,White,Pancho Villa
74,A826180,2020-11-21 15:47:00,3004 Kenner Drive,Austin,TX,Owner Surrender,Normal,Male,2017-11-21 15:47:00,3,0,10,True,Australian Shepherd,Mix,Black,Tricolor,Titus
75,A826210,2020-11-22 08:13:00,11900 Garden Grove Drive,Travis,TX,Stray,Sick,Male,2020-10-22 08:13:00,0,1,9,True,Labrador Retriever,Collie Rough,Black,None,None
76,A825853,2020-11-13 16:17:00,Spring Fever Trail,Austin,TX,Stray,Normal,Female,2018-11-13 16:17:00,2,0,18,True,Basset Hound,Mix,Black,Brown,Darla Jane
77,A826169,2020-11-20 15:57:00,8407 Coulver Road,Travis,TX,Stray,Normal,Male,2020-02-20 15:57:00,0,9,11,True,Rhod Ridgeback,Mix,Brown,White,Chango
78,A825203,2020-10-29 18:36:00,None,Austin,TX,Owner Surrender,Normal,Male,2015-10-29 18:36:00,5,1,2,False,Pit Bull,None,Blue,White,Niño
79,A826215,2020-11-22 11:34:00,None,Austin,TX,Stray,Normal,Male,2017-11-22 11:34:00,3,0,9,True,German Shepherd,Mix,Black,Tricolor,None
80,A786269,2020-11-21 15:56:00,None,Travis,TX,Public Assist,Normal,Male,2018-11-21 15:56:00,2,0,10,True,Labrador Retriever,Mix,Chocolate,White,Sully
81,A825920,2020-11-15 17:24:00,14707 Reynero,Travis,TX,Stray,Normal,Female,2020-10-15 17:24:00,0,1,16,True,Australian Cattle Dog,Mix,Red Tick,White,Sandy
82,A826004,2020-11-17 15:12:00,12102 Clickett Cove,Austin,TX,Stray,Nursing,Female,2018-11-17 15:12:00,2,0,14,True,Labrador Retriever,Mix,Tricolor,None,Jenny
83,A826193,2020-11-21 11:51:00,None,Austin,TX,Owner Surrender,Normal,Female,2020-09-21 11:51:00,0,2,10,False,Labrador Retriever,None,Brown,None,None
84,A826192,2020-11-21 11:51:00,None,Austin,TX,Owner Surrender,Normal,Female,2020-09-21 11:51:00,0,2,10,False,Labrador Retriever,None,Brown,Black,None
85,A826191,2020-11-21 11:51:00,None,Austin,TX,Owner Surrender,Normal,Female,2020-09-21 11:51:00,0,2,10,False,Labrador Retriever,None,Black,White,None
86,A825863,2020-11-14 08:36:00,15204 Eilers Road,Travis,TX,Stray,Normal,Female,2020-03-14 08:36:00,0,8,17,True,Labrador Retriever,Mix,Brown,White,Poppet
87,A825862,2020-11-14 08:36:00,15204 Eilers Road,Travis,TX,Stray,Normal,Male,2020-03-14 08:36:00,0,8,17,True,Labrador Retriever,Mix,Brown,White,Pickles
88,A825846,2020-11-13 13:54:00,East Pheasant Drive And Oriole Drive,Austin,TX,Stray,Normal,Female,2019-11-13 13:54:00,1,0,18,True,Plott Hound,Mix,Brown Brindle,White,Lena
89,A826098,2020-11-19 11:04:00,513 Vargas Road,Austin,TX,Stray,Normal,Female,2020-10-19 11:04:00,0,1,12,True,German Shepherd,Mix,Black,Brown,Turkey
90,A826100,2020-11-19 11:04:00,513 Vargas Road,Austin,TX,Stray,Normal,Female,2020-10-19 11:04:00,0,1,12,True,German Shepherd,Mix,Black,Brown,Pumpkin Pie
91,A826099,2020-11-19 11:04:00,513 Vargas Road,Austin,TX,Stray,Normal,Female,2020-10-19 11:04:00,0,1,12,True,German Shepherd,Mix,Black,Brown,Ham
92,A826087,2020-11-19 09:46:00,15705 Pearce Lane,Travis,TX,Owner Surrender,Sick,Female,2020-10-22 09:46:00,0,1,9,False,Unknown,None,Black,None,Bertha
93,A825700,2020-11-19 19:15:00,None,Austin,TX,Owner Surrender,Normal,Male,2020-08-19 19:15:00,0,3,12,True,Plott Hound,Mix,Brown Brindle,White,None
94,A826035,2020-11-18 09:41:00,12161 Abbey Glen Ln,Austin,TX,Stray,Normal,Male,2018-11-18 09:41:00,2,0,13,False,Chihuahua Longhair,None,Black,Brown,Chewy
95,A764206,2020-11-19 11:40:00,None,Austin,TX,Owner Surrender,Normal,Male,2017-11-19 11:40:00,3,0,12,False,Siberian Husky,None,Black,Gray,Hachi
96,A826003,2020-11-17 13:53:00,Cherry Hollow,Travis,TX,Stray,Normal,Male,2014-11-17 13:53:00,6,0,14,False,Yorkshire Terrier,None,Brown,None,Peter
97,A825076,2020-10-27 14:56:00,1801 Wells Branch Pkwy,Austin,TX,Stray,Nursing,Female,2018-10-27 14:56:00,2,1,4,True,Australian Kelpie,Siberian Husky,Brown Brindle,White,Violet
98,A784710,2020-11-19 15:05:00,None,Austin,TX,Owner Surrender,Normal,Male,2018-11-19 15:05:00,2,0,12,True,Border Collie,Catahoula,Black,White,Maximus
99,A826113,2020-11-19 13:14:00,None,Travis,TX,Owner Surrender,Normal,Male,2020-09-19 13:14:00,0,2,12,True,Great Pyrenees,Labrador Retriever,Black,White,None
100,A826112,2020-11-19 13:14:00,None,Travis,TX,Owner Surrender,Normal,Male,2020-09-19 13:14:00,0,2,12,True,Great Pyrenees,Labrador Retriever,White,None,None
101,A826118,2020-11-19 13:14:00,None,Travis,TX,Owner Surrender,Normal,Male,2020-09-19 13:14:00,0,2,12,True,Great Pyrenees,Labrador Retriever,Tan,White,None
102,A825298,2020-11-19 13:34:00,Outside Jurisdiction,None,None,Owner Surrender,Normal,Male,2020-09-19 13:34:00,0,2,12,True,Australian Shepherd,Border Collie,White,Brown,Comet
103,A826102,2020-11-19 11:13:00,None,Austin,TX,Owner Surrender,Normal,Female,2018-11-19 11:13:00,2,0,12,True,Siberian Husky,Mix,Black,Tricolor,Sasha
104,A825899,2020-11-15 09:39:00,6113 Club Terrace,Austin,TX,Stray,Normal,Female,2008-11-15 09:39:00,12,0,16,False,Chihuahua Shorthair,None,Brown Brindle,None,Princess
105,A809193,2020-11-19 11:46:00,None,Austin,TX,Owner Surrender,Normal,Female,2015-11-19 11:46:00,5,0,12,False,Pit Bull,None,Brown Brindle,White,Pepper
106,A825851,2020-11-13 15:11:00,Alemoor Drive,Austin,TX,Stray,Normal,Female,2018-11-13 15:11:00,2,0,18,True,Siberian Husky,Mix,Tricolor,None,Zelda
107,A826093,2020-10-31 10:30:00,Outside Jurisdiction,None,None,Stray,Normal,Male,Unknown,Unknown,Unknown,Unknown,False,Chihuahua Shorthair,None,Unknown,None,Liam
108,A825908,2020-11-15 13:46:00,Koenig Lane,Austin,TX,Stray,Normal,Male,2019-11-15 13:46:00,1,0,16,False,Chihuahua Shorthair,None,Tan,None,Geordi
109,A826052,2020-11-18 12:42:00,Tudor House And Wells Branch,Travis,TX,Stray,Normal,Female,2020-06-18 12:42:00,0,5,13,False,Labrador Retriever,None,Brown,White,None
110,A824108,2020-10-06 17:19:00,None,Manor,TX,Owner Surrender,Normal,Male,2017-10-06 17:19:00,3,1,25,True,Blue Lacy,Mix,Chocolate,White,Bear
111,A785605,2018-12-05 18:10:00,1825 South Pleasant Valley Road,Austin,TX,Stray,Normal,Male,2017-12-05 18:10:00,2,11,26,True,Labrador Retriever,Pit Bull,Brown Brindle,White,Hopscotch
112,A785605,2020-11-17 11:06:00,None,Austin,TX,Owner Surrender,Normal,Male,2018-11-17 11:06:00,2,0,14,True,Labrador Retriever,Pit Bull,Brown Brindle,White,Hopscotch
113,A826079,2020-11-18 20:27:00,12001 Dessau,Austin,TX,Stray,Normal,Male,2012-11-18 20:27:00,8,0,13,False,Maltese,None,White,None,Louie
114,A823136,2020-11-18 18:44:00,None,Austin,TX,Owner Surrender,Normal,Male,2016-11-18 18:44:00,4,0,13,True,American Bulldog,Mix,Tan,White,Gaston
115,A826075,2020-11-18 17:19:00,None,Austin,TX,Abandoned,Normal,Female,2019-11-18 17:19:00,1,0,13,True,Pit Bull,Mix,Black,White,Poppy
116,A744414,2017-02-28 14:37:00,10600 Lakeline Mall,Austin,TX,Public Assist,Normal,Male,2014-02-28 14:37:00,6,9,3,True,Pit Bull,Mix,Tan,White,Jacob
117,A744414,2020-11-18 16:11:00,None,Austin,TX,Owner Surrender,Normal,Male,2014-11-18 16:11:00,6,0,13,True,Pit Bull,Mix,Tan,White,Jacob
118,A825973,2020-11-13 06:30:00,Outside Jurisdiction,None,None,Stray,Normal,Male,Unknown,Unknown,Unknown,Unknown,False,Yorkshire Terrier,None,Unknown,None,Duke
119,A790155,2020-11-18 15:56:00,None,Austin,TX,Owner Surrender,Normal,Male,2018-11-18 15:56:00,2,0,13,True,Australian Cattle Dog,Mix,Black,White,Chico
120,A790155,2019-08-04 16:39:00,Stassney And S 1St St,Austin,TX,Stray,Normal,Male,2018-08-04 16:39:00,2,3,27,True,Australian Cattle Dog,Mix,Black,White,Chico
121,A790155,2020-02-07 16:52:00,730 West Stassney Lane,Austin,TX,Stray,Normal,Male,2018-02-07 16:52:00,2,9,24,True,Australian Cattle Dog,Mix,Black,White,Chico
122,A825965,2020-10-31 17:30:00,Outside Jurisdiction,None,None,Stray,Normal,Female,Unknown,Unknown,Unknown,Unknown,False,Black Mouth Cur,None,Unknown,None,Sadie
123,A826044,2020-11-18 11:43:00,None,Travis,TX,Owner Surrender,Normal,Male,2020-10-28 11:43:00,0,1,3,True,Chihuahua Shorthair,Mix,Black,None,None
124,A826046,2020-11-18 11:43:00,None,Travis,TX,Owner Surrender,Normal,Male,2020-10-28 11:43:00,0,1,3,True,Chihuahua Shorthair,Mix,Black,None,None
125,A826045,2020-11-18 11:43:00,None,Travis,TX,Owner Surrender,Normal,Male,2020-10-28 11:43:00,0,1,3,True,Chihuahua Shorthair,Mix,Black,White,None
126,A826043,2020-11-18 11:43:00,None,Travis,TX,Owner Surrender,Normal,Male,2020-10-28 11:43:00,0,1,3,True,Chihuahua Shorthair,Mix,Chocolate,None,None
127,A825801,2020-11-12 16:22:00,16902 Fagerquist Road,Travis,TX,Stray,Injured,Male,2011-11-12 16:22:00,9,0,19,True,Labrador Retriever,Australian Shepherd,Tricolor,None,Hero
128,A826034,2020-11-18 09:27:00,1500 South Lamar,Austin,TX,Public Assist,Normal,Male,2009-11-18 09:27:00,11,0,13,False,Shiba Inu,None,Tan,White,Max
129,A824357,2020-10-13 07:57:00,8207 Canoga Ave,Travis,TX,Stray,Normal,Male,2018-10-13 07:57:00,2,1,18,True,Pit Bull,Mix,Brown,None,Kobe
130,A820850,2020-11-10 11:07:00,900 East Koenig Lane,Austin,TX,Public Assist,Normal,Male,2019-11-10 11:07:00,1,0,21,False,Pit Bull,None,Brown,White,Paw Paw
131,A824965,2020-10-24 13:49:00,14000 Renaissance Ct,Austin,TX,Abandoned,Normal,Female,2018-10-24 13:49:00,2,1,7,False,Pit Bull,None,Blue,White,Puddin
132,A782770,2020-11-18 12:36:00,6814 East Riverside Drive,Austin,TX,Stray,Normal,Male,2017-11-18 12:36:00,3,0,13,True,Pit Bull,Mix,White,Gray,Dewey
133,A825994,2020-11-17 12:49:00,107 Oertli Lane,Austin,TX,Stray,Normal,Female,2018-11-17 12:49:00,2,0,14,True,Siberian Husky,Mix,Gray,White,Honey
134,A820850,2020-09-08 10:12:00,900 East Koening Lane,Austin,TX,Public Assist,Normal,Male,2019-09-08 10:12:00,1,2,23,False,Pit Bull,None,Brown,White,Paw Paw
135,A826048,2020-11-18 11:51:00,Pearce Lane,Travis,TX,Stray,Normal,Female,2020-10-21 11:51:00,0,1,10,False,Siberian Husky,None,White,Tan,None
136,A826016,2020-11-17 16:21:00,5716 Malarkey Road,Austin,TX,Stray,Normal,Female,2018-11-17 16:21:00,2,0,14,True,Chihuahua Shorthair,Boston Terrier,Brown,White,None
137,A825991,2020-11-18 11:07:00,None,Austin,TX,Public Assist,Normal,Female,2020-03-18 11:07:00,0,8,13,True,Border Collie,Mix,Black,White,Luna
138,A825961,2020-11-16 17:08:00,Canterbury And South Pleasant Valley,Austin,TX,Stray,Normal,Female,2018-11-16 17:08:00,2,0,15,True,German Shepherd,Mix,Black,Brown,Mila
139,A826024,2020-11-17 17:25:00,5347 Mission Circle,Austin,TX,Stray,Normal,Female,2020-10-17 17:25:00,0,1,14,True,Labrador Retriever,Mix,Black,None,None
140,A826023,2020-11-17 17:25:00,5347 Mission Circle,Austin,TX,Stray,Normal,Male,2020-10-17 17:25:00,0,1,14,True,Labrador Retriever,Mix,Black,None,None
141,A826026,2020-11-17 17:25:00,5347 Mission Circle,Austin,TX,Stray,Normal,Female,2020-10-17 17:25:00,0,1,14,True,Labrador Retriever,Mix,Black,None,None
142,A826022,2020-11-17 17:25:00,5347 Mission Circle,Austin,TX,Stray,Normal,Female,2017-11-17 17:25:00,3,0,14,True,Border Collie,Labrador Retriever,Black,None,Rosaline
143,A826025,2020-11-17 17:25:00,5347 Mission Circle,Austin,TX,Stray,Normal,Male,2020-10-17 17:25:00,0,1,14,True,Labrador Retriever,Mix,Black,None,None
144,A826027,2020-11-17 17:25:00,5347 Mission Circle,Austin,TX,Stray,Normal,Female,2020-10-17 17:25:00,0,1,14,True,Labrador Retriever,Mix,Brown Brindle,None,None
145,A748674,2020-11-17 12:49:00,107 Oertli Lane,Austin,TX,Stray,Normal,Female,2016-11-17 12:49:00,4,0,14,True,German Shepherd,Mix,Tan,None,Princess
146,A825833,2020-11-13 11:29:00,Deer Run And Blue Dawn,Austin,TX,Stray,Normal,Female,2020-10-13 11:29:00,0,1,18,True,German Shepherd,Mix,Black,Brown,Olive
147,A818906,2020-06-17 13:46:00,Cameron Road And Parmer Lane,Austin,TX,Stray,Injured,Female,2020-03-17 13:46:00,0,8,14,True,German Shepherd,Siberian Husky,Buff,White,Buffy
148,A826029,2020-11-17 22:45:00,11801 Arnold,Austin,TX,Owner Surrender,Sick,Male,2020-10-20 22:45:00,0,1,11,True,Labrador Retriever,Mix,Tan,None,Blaze
149,A826011,2020-11-17 15:58:00,1071 Clayton Lane,Austin,TX,Stray,Sick,Unknown,2020-05-17 15:58:00,0,6,14,True,Catahoula,Mix,Brown Brindle,White,None
150,A825839,2020-11-13 12:51:00,None,Austin,TX,Owner Surrender,Normal,Male,2020-02-13 12:51:00,0,9,18,True,Chihuahua Shorthair,Rat Terrier,Tan,White,Ford
